pred_x,pred_y,pred_phi,true_X,true_y,true_phi
55.49855877098879,13.176278923161526,0.14066071333730393,55.454,13.03,0.14166
56.40051762825078,13.082719052498287,0.13648922931766522,56.429,13.164,0.13979
57.35905014208763,13.337685559448449,0.13609559665471388,57.411,13.298,0.13716
58.35822773282217,13.450441934278029,0.13216510026768602,58.4,13.429,0.13491
59.514915929442125,13.622731459007035,0.13348052545629677,59.396,13.56,0.13238
60.42235769001562,13.73359821280623,0.13425968785522477,60.399,13.689,0.13023
61.45205671738539,13.833755660529919,0.1270224847960949,61.409,13.817,0.12817
62.4249354216736,13.950357857544748,0.1237706945206126,62.425,13.944,0.12624
63.60133205963007,14.057679407148155,0.11780361071667445,63.448,14.07,0.12442
64.54434811835694,14.204012166159982,0.11978248639253156,64.478,14.195,0.12251
